from,to,label,strength,trust,statement,quote,full.quote,combo.type,definition.type,Interview,Positive,sensitivity,specificity
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
31,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
31,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
31,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
51,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
42,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
41,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
38,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
52,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
